Tabulka výsledků,Přiřazený link,,Správný link,Poznámka
http://psh.ntkcz.cz/skos/PSH2611,http://cs.wikipedia.org/wiki/Ontologie,1,,
http://psh.ntkcz.cz/skos/PSH2253,http://cs.wikipedia.org/wiki/Elektrické stroje,1,,
http://psh.ntkcz.cz/skos/PSH1138,http://cs.wikipedia.org/wiki/Parkoviště,1,,
http://psh.ntkcz.cz/skos/PSH6752,http://cs.wikipedia.org/wiki/Nizozemština,1,,
http://psh.ntkcz.cz/skos/PSH13826,http://cs.wikipedia.org/wiki/Chalupy,0,http://cs.wikipedia.org/wiki/Chalupa,
http://psh.ntkcz.cz/skos/PSH8619,http://cs.wikipedia.org/wiki/Kravské mléko,1,,
http://psh.ntkcz.cz/skos/PSH11806,http://cs.wikipedia.org/wiki/Užité umění,1,,
http://psh.ntkcz.cz/skos/PSH6453,http://cs.wikipedia.org/wiki/Adresář,"0,5",http://cs.wikipedia.org/wiki/Adres%C3%A1%C5%99_%28informatika%29,
http://psh.ntkcz.cz/skos/PSH6437,http://cs.wikipedia.org/wiki/Benzin,1,,
http://psh.ntkcz.cz/skos/PSH6147,http://cs.wikipedia.org/wiki/Disacharidy,1,,
http://psh.ntkcz.cz/skos/PSH8125,http://cs.wikipedia.org/wiki/Koherer,0,http://cs.wikipedia.org/wiki/Koherence_%28vln%C4%9Bn%C3%AD%29,
http://psh.ntkcz.cz/skos/PSH152,http://cs.wikipedia.org/wiki/Kost,0,http://cs.wikipedia.org/wiki/Kostel,
http://psh.ntkcz.cz/skos/PSH9342,http://cs.wikipedia.org/wiki/Emoce,1,,
http://psh.ntkcz.cz/skos/PSH11992,http://cs.wikipedia.org/wiki/Kvalitativní analýza,1,,
http://psh.ntkcz.cz/skos/PSH13350,http://cs.wikipedia.org/wiki/Zelenina,1,,
http://psh.ntkcz.cz/skos/PSH7903,http://cs.wikipedia.org/wiki/Zvony,1,,
http://psh.ntkcz.cz/skos/PSH13082,http://cs.wikipedia.org/wiki/Léky,1,,
http://psh.ntkcz.cz/skos/PSH13901,http://cs.wikipedia.org/wiki/Radiologie,1,,
http://psh.ntkcz.cz/skos/PSH10296,http://cs.wikipedia.org/wiki/Videotechnika,1,,
http://psh.ntkcz.cz/skos/PSH5537,http://cs.wikipedia.org/wiki/Dehydratace,1,,
http://psh.ntkcz.cz/skos/PSH6944,http://cs.wikipedia.org/wiki/Próza,1,,
http://psh.ntkcz.cz/skos/PSH3536,http://cs.wikipedia.org/wiki/Vakuum,1,,
http://psh.ntkcz.cz/skos/PSH8814,http://cs.wikipedia.org/wiki/Právní obyčeje,1,,
http://psh.ntkcz.cz/skos/PSH1440,http://cs.wikipedia.org/wiki/Rozvinuté země,1,,
http://psh.ntkcz.cz/skos/PSH6186,http://cs.wikipedia.org/wiki/Aminokyseliny,1,,
http://psh.ntkcz.cz/skos/PSH11729,http://cs.wikipedia.org/wiki/Kamej,1,,
http://psh.ntkcz.cz/skos/PSH9678,http://cs.wikipedia.org/wiki/Asociace,0,,na wiki není příliš konkrétní stránks na toto téma
http://psh.ntkcz.cz/skos/PSH12004,http://cs.wikipedia.org/wiki/Know how,1,,
http://psh.ntkcz.cz/skos/PSH3521,http://cs.wikipedia.org/wiki/Comptonův jev,1,,
http://psh.ntkcz.cz/skos/PSH11932,http://cs.wikipedia.org/wiki/Zpravodajství,1,,
http://psh.ntkcz.cz/skos/PSH13427,http://cs.wikipedia.org/wiki/Plemena zvířat,1,,
http://psh.ntkcz.cz/skos/PSH292,http://cs.wikipedia.org/wiki/Městská zeleň,1,,
http://psh.ntkcz.cz/skos/PSH11108,http://cs.wikipedia.org/wiki/Požární hlásič,1,,
http://psh.ntkcz.cz/skos/PSH6675,http://cs.wikipedia.org/wiki/Poststrukturalismus,1,,
http://psh.ntkcz.cz/skos/PSH8888,http://cs.wikipedia.org/wiki/Penále,1,,
http://psh.ntkcz.cz/skos/PSH784,http://cs.wikipedia.org/wiki/Zárodečný vývoj,1,,
http://psh.ntkcz.cz/skos/PSH9064,http://cs.wikipedia.org/wiki/Rodinné právo,1,,
http://psh.ntkcz.cz/skos/PSH1689,http://cs.wikipedia.org/wiki/Spotřební daň,1,,
http://psh.ntkcz.cz/skos/PSH1781,http://cs.wikipedia.org/wiki/Elektronika,1,,
http://psh.ntkcz.cz/skos/PSH224,http://cs.wikipedia.org/wiki/Pavlač,1,,
http://psh.ntkcz.cz/skos/PSH1389,http://cs.wikipedia.org/wiki/Služby,1,,
http://psh.ntkcz.cz/skos/PSH571,http://cs.wikipedia.org/wiki/Heliocentrismus,1,,
http://psh.ntkcz.cz/skos/PSH5971,http://cs.wikipedia.org/wiki/Cyklopropan,1,,
http://psh.ntkcz.cz/skos/PSH1348,http://cs.wikipedia.org/wiki/Suroviny,1,,
http://psh.ntkcz.cz/skos/PSH10302,http://cs.wikipedia.org/wiki/Dřevozpracující průmysl,"0,5",,nepřesné
http://psh.ntkcz.cz/skos/PSH8827,http://cs.wikipedia.org/wiki/Výklad práva,1,,
http://psh.ntkcz.cz/skos/PSH6750,http://cs.wikipedia.org/wiki/Norština,1,,
http://psh.ntkcz.cz/skos/PSH9032,http://cs.wikipedia.org/wiki/Hypotéka,1,,
http://psh.ntkcz.cz/skos/PSH12905,http://cs.wikipedia.org/wiki/Amnézie,1,,
http://psh.ntkcz.cz/skos/PSH7275,http://cs.wikipedia.org/wiki/Determinant matice,1,,
